@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
3.460345,1.366938,0.066506,0.135601,10.966769,4.472270,19.554432,73.231056,164.962067,409.396271,0.160298,c2
2.056479,0.510145,0.585151,0.231289,13.136765,15.355101,25.339045,67.030617,142.532806,463.005585,0.148769,c2
3.687387,1.480770,0.244963,0.090452,6.417787,32.827473,41.332409,76.637756,139.983002,412.692871,0.201485,c2
3.212751,1.189269,0.058104,0.479968,8.165325,74.963715,166.414993,203.671204,108.554436,161.696762,1.072046,c2
2.769491,0.859437,0.400278,0.170067,11.613114,38.560299,75.411270,118.930840,179.274765,257.759064,0.408630,c2
4.657308,1.851791,0.095997,0.275931,17.430616,4.268677,8.140856,34.922855,134.343246,411.285980,0.078312,c2
4.678011,1.786852,0.001719,0.325063,20.014071,4.874547,15.828851,53.587845,96.534760,440.237091,0.128159,c2
5.309232,2.537854,0.318318,0.180530,9.769040,27.491957,60.956997,149.761871,178.098038,278.588257,0.435209,c2
1.566461,2.168549,0.645999,0.194096,13.268079,23.477962,35.121376,77.741859,288.374847,157.693344,0.240367,c2
3.260288,1.018736,0.230084,0.079310,21.431055,4.241746,8.996666,42.464024,335.430878,226.322998,0.090921,c2
3.153423,0.784944,0.050486,0.344208,13.610093,38.591915,76.808495,92.955994,318.047424,146.122910,0.337664,c2
1.479646,1.172733,0.572646,0.314111,7.865906,28.601963,51.717533,96.008667,167.243073,97.473969,0.503637,c2
3.578161,1.322919,0.433679,0.423580,19.103785,3.485129,10.324713,45.598473,77.544960,484.402985,0.098903,c2
2.894116,0.652639,0.246901,0.543106,24.202532,2.012876,6.652321,17.118071,64.675514,555.117554,0.038228,c2
2.836848,0.611718,0.198540,0.115992,18.699493,4.184181,14.723989,75.399490,320.845795,218.891342,0.165692,c2
2.776227,0.714916,0.269630,0.270734,23.985386,20.811287,33.972317,87.118721,355.209351,135.851639,0.236565,c2
2.710282,2.103119,0.158760,0.413348,21.553434,8.359316,10.890251,30.218437,87.737091,506.679962,0.068199,c2
3.786511,1.024432,0.380805,0.023103,18.387295,31.503208,45.407375,87.869743,70.103653,384.958069,0.273914,c2
4.944789,1.447630,0.905590,0.307969,11.878304,47.291645,83.342285,166.548065,137.767105,220.464600,0.616217,c2
2.853852,0.081846,0.131548,0.141647,13.843760,3.487826,12.525118,114.832283,127.292702,376.787781,0.250917,c2
1.878424,0.329710,0.639916,0.285659,5.171813,19.359179,20.002972,23.977697,22.339754,200.991379,0.181221,c2
3.484345,0.938131,0.127211,0.204394,17.238787,6.850307,23.336206,59.928165,100.724762,442.812286,0.151283,c2
3.774388,1.530313,0.135949,0.212968,3.970223,34.059727,70.526245,199.592392,132.337997,289.246490,0.592828,c2
3.286700,0.692440,0.220520,0.069246,15.521334,8.984694,26.049265,110.057259,127.370171,343.345215,0.283733,c2
5.481811,2.499343,1.462957,0.088357,18.726332,3.855860,11.271557,56.984650,154.199799,356.037415,0.132770,c2
2.406036,0.537531,0.404382,0.139044,10.782884,16.045670,40.437019,79.298630,52.879642,400.736847,0.254940,c2
3.071213,1.034403,0.039766,0.320274,4.759065,12.229986,26.336014,26.610886,51.706612,154.413818,0.242486,c2
4.062019,0.665704,0.998385,0.042933,11.518268,28.453754,30.368036,65.278633,92.774940,301.402130,0.226313,c2
2.037621,0.032851,0.373164,0.213206,13.128436,8.507094,17.233469,53.235420,71.361435,340.257233,0.167733,c2
5.057056,2.478448,2.391296,0.085777,7.870527,15.049906,44.265568,113.770805,201.677307,265.512756,0.327713,c2
2.433802,0.247092,0.040969,0.085146,12.037386,32.750439,56.262737,181.794937,90.045547,314.653564,0.544195,c2
4.650511,2.010729,0.814687,0.161828,17.855703,8.207348,43.136391,166.192108,208.517136,245.678268,0.452697,c2
